,cousine,business_id
197,Fast Food,xou2z56CFTWYoA99s4DpTg
198,Mexican,xou2z56CFTWYoA99s4DpTg
199,Tex-Mex,xou2z56CFTWYoA99s4DpTg
200,Pizza,QfCHvy6v39xPH7CvCASlFg
201,Caribbean,qodyGnpmj1zEfi7nJ534BA
202,Chinese,unXHmjewHGeWQwJr74Sy9g
203,American (New),JD1uVun5FEF_Ih2PnHCbuA
204,Fast Food,R6TxOULUEMSq1-7P0w6kTA
205,Burgers,4pZeC9W0EIiBTOJMnwG2vw
206,American (Traditional),4pZeC9W0EIiBTOJMnwG2vw
207,Chinese,2aai1pIfThxDTTD_WwXHeA
208,Chinese,jGU7WGOM2qUHofLKZAFAIg
209,Food,FiP9q_YD5vgxu_Sflo5oZw
210,Ice Cream & Frozen Yogurt,FiP9q_YD5vgxu_Sflo5oZw
211,Fast Food,FiP9q_YD5vgxu_Sflo5oZw
212,American (Traditional),FIR1SRvSAMNTO3VvNaJn2g
213,Event Planning & Services,yrBo3c3OTKVO4H1ttBxadw
214,Venues & Event Spaces,yrBo3c3OTKVO4H1ttBxadw
215,American (Traditional),R825-NTAI2wG2C4mN-dtNA
216,Pizza,R825-NTAI2wG2C4mN-dtNA
217,Gluten-Free,R825-NTAI2wG2C4mN-dtNA
218,Sandwiches,r5S_wYdu1vKRW1k-7_yOIA
219,Sandwiches,x5Mv61CnZLohZWxfCVCPTQ
220,Pizza,x5Mv61CnZLohZWxfCVCPTQ
221,Chicken Wings,x5Mv61CnZLohZWxfCVCPTQ
222,American (New),2ZnCITVa0abGce4gZ6RhIw
223,Sandwiches,2ZnCITVa0abGce4gZ6RhIw
224,American (New),EmzaQR5hQlF0WIl24NxAZA
225,Nightlife,EmzaQR5hQlF0WIl24NxAZA
226,Dance Clubs,EmzaQR5hQlF0WIl24NxAZA
227,Thai,KPoTixdjoJxSqRSEApSAGg
228,Mexican,e5kc0CQ4R-PCCDgb274gSg
229,Tex-Mex,e5kc0CQ4R-PCCDgb274gSg
230,Food,gBcpDl0quCLABsg5OuSFww
231,Tea Rooms,gBcpDl0quCLABsg5OuSFww
232,Breakfast & Brunch,gBcpDl0quCLABsg5OuSFww
233,Sandwiches,gBcpDl0quCLABsg5OuSFww
234,Burgers,72N6TdH5MdUWE2YhYRbyxw
235,Fast Food,neGAQFkBNI8-rpPBLBzNkw
236,Mexican,neGAQFkBNI8-rpPBLBzNkw
237,Tex-Mex,neGAQFkBNI8-rpPBLBzNkw
238,Bars,45puCRQ6Vh_IIAy7kkfFDQ
239,American (Traditional),45puCRQ6Vh_IIAy7kkfFDQ
240,Sports Bars,45puCRQ6Vh_IIAy7kkfFDQ
241,Nightlife,45puCRQ6Vh_IIAy7kkfFDQ
242,Pizza,nc3IiY5LNdmEwUZCW84yuA
243,Breakfast & Brunch,P7wKlbSRsoRrfH3DFOY08A
244,Mexican,BESmH-lmMm34_EefL8X9fQ
245,Mexican,D09yG6Z3gcsh24Qn7Y4gYA
246,Japanese,kaIue7GRCmkPzDeHDBTttQ
247,Sushi Bars,kaIue7GRCmkPzDeHDBTttQ
248,Asian Fusion,kaIue7GRCmkPzDeHDBTttQ
249,Nightlife,j8nyAaN_w5t6wYv-ni23sg
250,Bars,j8nyAaN_w5t6wYv-ni23sg
251,American (New),j8nyAaN_w5t6wYv-ni23sg
252,Sports Bars,j8nyAaN_w5t6wYv-ni23sg
253,Bars,5XIvwfbIa-vuFEkkeCQ6kQ
254,American (New),5XIvwfbIa-vuFEkkeCQ6kQ
255,Sports Bars,5XIvwfbIa-vuFEkkeCQ6kQ
256,Nightlife,5XIvwfbIa-vuFEkkeCQ6kQ
257,Asian Fusion,VsO_rhXi5lgbaGxNwoEZsQ
258,Chinese,VsO_rhXi5lgbaGxNwoEZsQ
259,Greek,Y293fHh5SZ0_9BZm4M6BCg
260,Mexican,Y293fHh5SZ0_9BZm4M6BCg
261,Greek,IceZ4BtTz76eppjNWm-c6A
262,Mediterranean,IceZ4BtTz76eppjNWm-c6A
263,Bakeries,LXhL5X3edNRy7epku6UAEw
264,Food,LXhL5X3edNRy7epku6UAEw
265,Breakfast & Brunch,LXhL5X3edNRy7epku6UAEw
266,Mexican,-lOSaCuBRAvX5JBifx-EMw
267,Mexican,XI-_Y2XRw03mozGx0Z90Gw
268,Bars,qsWxbgQwuomXvMseg23DGg
269,American (Traditional),qsWxbgQwuomXvMseg23DGg
270,Sports Bars,qsWxbgQwuomXvMseg23DGg
271,Nightlife,qsWxbgQwuomXvMseg23DGg
272,Chicken Wings,qsWxbgQwuomXvMseg23DGg
273,Italian,DlCtdbceo4YNSI53cCL2lg
274,Sandwiches,kR5i58Pcse1FD9tk-yYLlA
275,American (Traditional),2I666dqzs1XB6xigIKa9bA
276,Delis,yExYqENb4F6qH6kJxTOaSQ
277,Breakfast & Brunch,9BH18avE46LlHMvJn67MaA
278,Delis,9BH18avE46LlHMvJn67MaA
279,Sandwiches,9BH18avE46LlHMvJn67MaA
280,Mediterranean,trAvQPp7gps0Btk-2AmLpw
281,Greek,trAvQPp7gps0Btk-2AmLpw
282,Southern,trAvQPp7gps0Btk-2AmLpw
283,Sandwiches,s6zzKc7UvwDRxn-BFlhiTg
284,Arts & Entertainment,4WcxnNv_lzCIG2eb8O5Mlg
285,American (Traditional),4WcxnNv_lzCIG2eb8O5Mlg
286,Nightlife,4WcxnNv_lzCIG2eb8O5Mlg
287,Music Venues,4WcxnNv_lzCIG2eb8O5Mlg
288,American (Traditional),gkv2XvXpFgiq4Bb2XK7YmQ
289,Italian,If2DUhmWIvlu2JFc_rR-Bw
290,Pizza,If2DUhmWIvlu2JFc_rR-Bw
291,Sandwiches,If2DUhmWIvlu2JFc_rR-Bw
292,Burgers,xH5axHFadmc7Veutt376TA
293,Fast Food,xH5axHFadmc7Veutt376TA
294,Sandwiches,Vvh2Hd4SsZjEEfKLNKAEWw
295,Cafes,sInUSy63Oh455uWs9p9OqQ
296,Mexican,x8WoC_7WHzXNmt6J13Nbvw
297,Food,wki-Qlp3OWgH0XtZ-Jz_WQ
298,Coffee & Tea,wki-Qlp3OWgH0XtZ-Jz_WQ
299,Sandwiches,wki-Qlp3OWgH0XtZ-Jz_WQ
300,Cheesesteaks,OoHWabV-ym7_HWlHeXTsVA
301,Sandwiches,OoHWabV-ym7_HWlHeXTsVA
302,Japanese,oSKT5oZX1NWYaHwOWL5lag
303,Delis,QAe9UHKsxPdXQovBpaznMQ
304,Fast Food,QAe9UHKsxPdXQovBpaznMQ
305,Sandwiches,QAe9UHKsxPdXQovBpaznMQ
306,Barbeque,q1nDSpmV-FdTBNj6UuZvTg
307,Wine Bars,muCl5p-9ut1sY0aKeUeRhw
308,Bars,muCl5p-9ut1sY0aKeUeRhw
309,American (New),muCl5p-9ut1sY0aKeUeRhw
310,Nightlife,muCl5p-9ut1sY0aKeUeRhw
311,Bars,oCA2OZcd_Jo_ggVmUx3WVw
312,American (Traditional),oCA2OZcd_Jo_ggVmUx3WVw
313,Nightlife,oCA2OZcd_Jo_ggVmUx3WVw
314,Sports Bars,oCA2OZcd_Jo_ggVmUx3WVw
315,Barbeque,oCA2OZcd_Jo_ggVmUx3WVw
316,Mexican,eK6KGMKqU_4nB9RdayZD7Q
317,American (New),jn3OgTqiQIFymRA9U0PTfQ
318,American (Traditional),1-1VcGTL3GyCqUpXZLFTZA
319,Greek,odhXwWaYZvD_icIN6f_DbA
320,Mediterranean,odhXwWaYZvD_icIN6f_DbA
321,Sandwiches,odhXwWaYZvD_icIN6f_DbA
322,Pizza,avPNEqlXgyBvTXjb-ujQFA
323,Sandwiches,ldIxXmxD3Cku0vODGYb9dQ
324,Mexican,hWhVP-28LYP3llaMlAJ_JA
325,Burgers,ixTr1qXUFGTzyaZUuCDDvg
326,American (Traditional),ixTr1qXUFGTzyaZUuCDDvg
327,Fast Food,ixTr1qXUFGTzyaZUuCDDvg
328,Sandwiches,ZoQAOnEFnyHjSpomtfqesA
329,Grocery,apCfJVnRyaw6oVUBKujpUQ
330,Mexican,apCfJVnRyaw6oVUBKujpUQ
331,Food,apCfJVnRyaw6oVUBKujpUQ
332,Ethnic Food,apCfJVnRyaw6oVUBKujpUQ
333,Specialty Food,apCfJVnRyaw6oVUBKujpUQ
334,Chinese,ykfTh6HI219NoMsWBxulxw
335,Mexican,McdTNj-TUMOlfkHwQWs4rg
336,Soul Food,tb24fvNJfHhyKEXkKn12Xw
337,American (Traditional),tb24fvNJfHhyKEXkKn12Xw
338,Diners,tb24fvNJfHhyKEXkKn12Xw
339,Food,VXIkI9_EbDbYHeO9IzKjJg
340,Bakeries,VXIkI9_EbDbYHeO9IzKjJg
341,Grocery,VXIkI9_EbDbYHeO9IzKjJg
342,Delis,VXIkI9_EbDbYHeO9IzKjJg
343,Seafood,VKxn7zmp8nOYT-ZHFZTjgA
344,Fish & Chips,VKxn7zmp8nOYT-ZHFZTjgA
345,Mexican,VKxn7zmp8nOYT-ZHFZTjgA
346,Latin American,rbiRLiFTG098z9JaK3Nshw
347,Salvadoran,rbiRLiFTG098z9JaK3Nshw
348,Mexican,cgNIBHS2mLdbTRiodAT6EQ
349,Bakeries,SZvYxcvYYVRue9MXcEDjsA
350,Food,SZvYxcvYYVRue9MXcEDjsA
351,American (Traditional),SZvYxcvYYVRue9MXcEDjsA
352,American (New),5-X03Zc0nN7U5eoe8uFUdw
353,Fast Food,0De3TQ_uSOXwgduKL0va3w
354,Food,R6aazv8FB-6BeanY3ag8kw
355,Burgers,R6aazv8FB-6BeanY3ag8kw
356,Ice Cream & Frozen Yogurt,R6aazv8FB-6BeanY3ag8kw
357,Sandwiches,R6aazv8FB-6BeanY3ag8kw
358,Mexican,Xo9Im4LmIhQrzJcO4R3ZbA
359,Food,YECRdaM6wN6eaGOYi5g8uA
360,Specialty Food,YECRdaM6wN6eaGOYi5g8uA
361,Delis,YECRdaM6wN6eaGOYi5g8uA
362,Meat Shops,YECRdaM6wN6eaGOYi5g8uA
363,Seafood,NYBx4sdSVrN-I5Q8RfLMPg
364,Mexican,NYBx4sdSVrN-I5Q8RfLMPg
365,Seafood,Cp6JGY5YIRncTV_My9nf9g
366,Mexican,Cp6JGY5YIRncTV_My9nf9g
367,Mexican,04HakCR6gEeRYNAoKxkppQ
368,Latin American,q2SZa5g85758iW1L9sSL1g
369,American (Traditional),po5FyERB4lUZNnBIwnhFlg
370,Fast Food,po5FyERB4lUZNnBIwnhFlg
371,Burgers,I2IofjP2sHZUkv7pcoc33A
372,Pakistani,_RBUU1y4yJrK0SPAd8z0-w
373,Indian,_RBUU1y4yJrK0SPAd8z0-w
374,Buffets,_RBUU1y4yJrK0SPAd8z0-w
375,Fast Food,WyJuGTwFwoN0k8iX8FsqYw
376,Bars,W41CEzdKJe8wdDB-Rd6KJQ
377,American (Traditional),W41CEzdKJe8wdDB-Rd6KJQ
378,Nightlife,W41CEzdKJe8wdDB-Rd6KJQ
379,Karaoke,W41CEzdKJe8wdDB-Rd6KJQ
380,Pizza,PEHJjxdw11TGFma9Zhz3ng
381,Italian,PEHJjxdw11TGFma9Zhz3ng
382,Seafood,zU8IfotOLryhaz5okWx6cA
383,Fish & Chips,zU8IfotOLryhaz5okWx6cA
384,Sandwiches,h2ewvzx8enIwYhNbtIpcZw
385,Barbeque,xfk9eY8gmwn8qsbyd-W6lQ
386,Fast Food,_gXpjRIjb5fv5f5IVGXvsw
387,Mexican,11TvD4sCfA8GEqLDANpbSQ
388,Italian,ZAgPh4v-oOb1g6cdlkKI0g
389,Pizza,ZAgPh4v-oOb1g6cdlkKI0g
390,Sandwiches,ZAgPh4v-oOb1g6cdlkKI0g
391,Shopping Centers,PsuvqWNmLBU8ABkch2d9vA
392,Shopping,PsuvqWNmLBU8ABkch2d9vA
393,Outlet Stores,PsuvqWNmLBU8ABkch2d9vA
394,Chinese,PsuvqWNmLBU8ABkch2d9vA
395,Chinese,2unQHR9uaRxk3dsW6f3MGA
396,Mexican,s87D-mtAuJ8BluKgYYsXGw
397,Chinese,yQONzVpX-DEpGSuKMIov6A
398,Chinese,9tefv6uPxoHhp_OlQQJVXA
399,Nightlife,IgaruuknYwCr9afeDYQ_yw
400,Buffets,Um5VnQXli9IwplV2rmgggg
401,Sandwiches,_8Y-XNHmQ76xmxUQIrn0sA
402,Mexican,rAb_wfdKKPPbcIysjYcW4A
403,American (Traditional),hzUOqxpcnYYBgLlrgvjQYQ
404,Fast Food,5UBAWhxukaPrc_0DalT-3w
405,Mexican,5UBAWhxukaPrc_0DalT-3w
406,Tex-Mex,5UBAWhxukaPrc_0DalT-3w
407,Mexican,jzPMl-NoB5F2fwoHX3hN8A
408,American (New),I4L_MJOZsnux3xCU2bLP8Q
409,Italian,JN2qXIuDXnV2d8WnSqd28A
410,Pizza,JN2qXIuDXnV2d8WnSqd28A
411,Sandwiches,JN2qXIuDXnV2d8WnSqd28A
412,Mexican,KIbFaBrZDX7rrYJInkv5Kg
413,Pizza,-AAig9FG0s8gYE4f8GfowQ
414,Italian,-AAig9FG0s8gYE4f8GfowQ
415,Sandwiches,-AAig9FG0s8gYE4f8GfowQ
416,Food,SfrBXbRdNB_gqPkIgJyKCg
417,Coffee & Tea,SfrBXbRdNB_gqPkIgJyKCg
418,American (Traditional),SfrBXbRdNB_gqPkIgJyKCg
419,Sandwiches,SfrBXbRdNB_gqPkIgJyKCg
420,Sandwiches,7Jmri1RCl9Ksmpi5EoIOZQ
421,Pubs,3xEB9FyFXolq1b_Qn_BFtg
422,Bars,3xEB9FyFXolq1b_Qn_BFtg
423,Nightlife,3xEB9FyFXolq1b_Qn_BFtg
424,British,3xEB9FyFXolq1b_Qn_BFtg
425,Breakfast & Brunch,SkNUbFJiJtbZjY-S_S0u7g
426,Fast Food,VZYMInkjRJVHwXVFqeoMWg
427,Burgers,g4Eit1EeeEGhTVik6AWYsA
428,Event Planning & Services,cIwMq5KNq0ASQzoTP1dE9Q
429,American (Traditional),cIwMq5KNq0ASQzoTP1dE9Q
430,Caterers,cIwMq5KNq0ASQzoTP1dE9Q
431,Comfort Food,cIwMq5KNq0ASQzoTP1dE9Q
432,Fast Food,OkXpdUozVS3vjSRtCoSIvw
433,Italian,OkXpdUozVS3vjSRtCoSIvw
434,American (Traditional),cjUmPLRT43wN9Z87A9BOpg
435,Delis,UWrB5H3G-hhiHMy3iKV2ew
436,Sandwiches,UWrB5H3G-hhiHMy3iKV2ew
437,Chinese,-3WVw1TNQbPBzaKCaQQ1AQ
438,Vegetarian,wTiQXYB9fE9rcSZDsZgbtQ
439,Buffets,wTiQXYB9fE9rcSZDsZgbtQ
440,Salad,wTiQXYB9fE9rcSZDsZgbtQ
441,Fast Food,L19_1cG2ALVjdBQ456h26A
442,Japanese,L19_1cG2ALVjdBQ456h26A
443,Food,zZmhEpiVpRfFQid87-pcOQ
444,Ice Cream & Frozen Yogurt,zZmhEpiVpRfFQid87-pcOQ
445,Fast Food,zZmhEpiVpRfFQid87-pcOQ
446,Mexican,WPSM_oTPceoSnwqQWfAsdg
447,Delis,5W0WLaM5gue42MQPpcB0lw
448,Breakfast & Brunch,yaTx8l9SrM0qR3Zcdnw5rw
449,Sandwiches,kUGgkYxXxHDhD6mtpQdUNQ
450,Pizza,kUGgkYxXxHDhD6mtpQdUNQ
451,Chicken Wings,kUGgkYxXxHDhD6mtpQdUNQ
452,Mexican,DeAnVirgOxQnI36V1W158A
453,Italian,ML1RJdeZ7bbfMrHvJ7m99A
454,Pizza,ML1RJdeZ7bbfMrHvJ7m99A
455,Sandwiches,ML1RJdeZ7bbfMrHvJ7m99A
456,Burgers,nrb_PRgJB-ZOVLD07fikJQ
457,Fast Food,nrb_PRgJB-ZOVLD07fikJQ
458,Pizza,-S7aL8dVIiXjCdbTZVn8uA
459,Greek,FltN1Hnw4n7BORXJH1kaeg
460,Mediterranean,FltN1Hnw4n7BORXJH1kaeg
461,Middle Eastern,FltN1Hnw4n7BORXJH1kaeg
462,Asian Fusion,AkOruz5CrCxUmXe1p_WoRg
